created_at,entry_id,field1,field2,field3,field4,latitude,longitude,elevation,status
2023-06-14T19:14:10+02:00,220,285,987,4.06300,5092,,,,
2023-06-14T19:29:08+02:00,221,277,960,4.06300,5120,,,,
2023-06-14T20:43:48+02:00,222,270,935,4.06300,5144,,,,
2023-06-14T22:43:13+02:00,223,277,960,4.06300,5144,,,,
2023-06-14T23:28:03+02:00,224,270,935,4.06300,5168,,,,
2023-06-15T00:12:53+02:00,225,277,960,4.06100,5168,,,,
2023-06-15T12:39:50+02:00,226,285,987,4.06100,5168,,,,
2023-06-15T12:54:50+02:00,227,266,921,4.05900,5234,,,,
2023-06-15T14:54:26+02:00,228,286,991,4.06100,5234,,,,
2023-06-15T15:09:24+02:00,229,260,901,4.05900,5324,,,,
2023-06-15T20:08:12+02:00,230,247,856,4.05900,5369,,,,
2023-06-15T20:23:10+02:00,231,328,1136,4.05900,5369,,,,
2023-06-15T20:38:07+02:00,232,252,873,4.05900,5632,,,,
2023-06-15T22:07:43+02:00,233,261,904,4.06100,5632,,,,
2023-06-15T22:37:41+02:00,234,250,866,4.06100,5671,,,,
2023-06-15T23:07:34+02:00,235,259,897,4.05900,5671,,,,
2023-06-16T08:35:12+02:00,236,252,873,4.05800,5695,,,,
2023-06-16T11:04:39+02:00,237,261,904,4.05800,5695,,,,
2023-06-16T11:34:33+02:00,238,290,1005,4.05900,5695,,,,
2023-06-16T11:49:32+02:00,239,321,1112,4.05800,5695,,,,
2023-06-16T12:04:32+02:00,240,260,901,4.05900,5906,,,,
2023-06-16T13:04:22+02:00,241,327,1133,4.06100,5906,,,,
2023-06-16T13:19:22+02:00,242,249,863,4.05800,6176,,,,
2023-06-16T16:48:35+02:00,243,242,838,4.05900,6201,,,,
2023-06-16T19:32:53+02:00,244,264,914,4.05900,6201,,,,
2023-06-16T19:47:49+02:00,245,242,838,4.05900,6277,,,,
2023-06-16T20:32:38+02:00,246,332,1150,4.05800,6277,,,,
2023-06-16T20:47:35+02:00,247,244,845,4.05800,6582,,,,
2023-06-16T22:17:11+02:00,248,270,935,4.06100,6582,,,,
2023-06-16T22:32:08+02:00,249,258,894,4.05800,6623,,,,
2023-06-16T23:02:01+02:00,250,247,856,4.05800,6661,,,,
2023-06-16T23:46:52+02:00,251,254,880,4.05600,6661,,,,
2023-06-17T10:14:15+02:00,252,267,925,4.05600,6661,,,,
2023-06-17T10:29:14+02:00,253,257,890,4.05600,6696,,,,
2023-06-17T12:13:54+02:00,254,322,1115,4.05800,6696,,,,
2023-06-17T12:28:53+02:00,255,252,873,4.05600,6938,,,,
2023-06-17T13:28:40+02:00,256,245,849,4.05800,6963,,,,
2023-06-17T13:58:34+02:00,257,297,1029,4.05600,6963,,,,
2023-06-17T14:13:32+02:00,258,245,849,4.05500,7143,,,,
2023-06-17T14:28:30+02:00,259,286,991,4.05800,7143,,,,
2023-06-17T14:43:29+02:00,260,245,849,4.05600,7285,,,,
2023-06-23T08:13:37+02:00,261,591,2047,4.12300,7285,,,,
2023-06-23T09:28:16+02:00,262,603,2089,4.06300,7285,,,,
2023-06-23T09:43:14+02:00,263,621,2151,4.06100,7285,,,,
2023-06-23T09:58:12+02:00,264,638,2210,4.06100,7285,,,,
2023-06-23T10:13:09+02:00,265,655,2269,4.06100,7285,,,,
2023-06-23T10:28:07+02:00,266,672,2328,4.05900,7285,,,,
2023-06-23T10:43:05+02:00,267,689,2387,4.05800,7285,,,,
2023-06-23T10:58:03+02:00,268,710,2459,4.05900,7285,,,,
2023-06-23T11:13:01+02:00,269,727,2518,4.06100,7285,,,,
2023-06-23T11:28:00+02:00,270,743,2574,4.05900,7285,,,,
2023-06-23T11:42:58+02:00,271,760,2633,4.05900,7285,,,,
2023-06-23T11:57:55+02:00,272,777,2692,4.06100,7285,,,,
2023-06-23T12:12:54+02:00,273,793,2747,4.05900,7285,,,,
2023-06-23T12:27:52+02:00,274,805,2789,4.05800,7285,,,,
2023-06-23T12:42:50+02:00,275,812,2813,4.05900,7285,,,,
2023-06-23T22:10:33+02:00,276,805,2789,4.05900,7309,,,,
2023-06-24T10:22:31+02:00,277,816,2827,4.05800,7309,,,,
2023-06-24T10:52:34+02:00,278,855,2962,4.05300,7309,,,,
2023-06-24T11:07:33+02:00,279,874,3028,4.05500,7309,,,,
2023-06-24T11:22:32+02:00,280,893,3093,4.05600,7309,,,,
2023-06-24T11:37:30+02:00,281,913,3163,4.05600,7309,,,,
2023-06-24T11:52:27+02:00,282,940,3256,4.05600,7309,,,,
2023-06-24T12:07:26+02:00,283,951,3294,4.05500,7309,,,,
2023-06-24T12:22:25+02:00,284,978,3388,4.05500,7309,,,,
2023-06-24T12:37:29+02:00,285,988,3422,4.05600,7309,,,,
2023-06-24T12:52:27+02:00,286,1007,3488,4.05500,7309,,,,
2023-06-24T22:05:16+02:00,287,999,3461,4.05500,7337,,,,
2023-06-25T09:32:24+02:00,288,992,3436,4.05600,7361,,,,
2023-06-25T17:45:31+02:00,289,983,3405,4.05300,7392,,,,
2023-06-26T12:55:42+02:00,290,971,3364,4.05300,7434,,,,
2023-06-26T22:08:33+02:00,291,963,3336,4.05000,7461,,,,
2023-06-27T11:20:16+02:00,292,956,3312,4.05000,7486,,,,
2023-06-27T22:47:37+02:00,293,949,3287,4.04800,7510,,,,
2023-06-28T09:59:50+02:00,294,941,3260,4.04800,7538,,,,
2023-06-28T10:14:53+02:00,295,948,3284,4.04800,7538,,,,
2023-06-28T14:28:55+02:00,296,941,3260,4.04800,7562,,,,
2023-06-28T20:27:50+02:00,297,933,3232,4.04700,7590,,,,
2023-06-29T13:38:36+02:00,298,926,3208,4.04700,7614,,,,
2023-06-29T18:22:29+02:00,299,910,3152,4.04400,7669,,,,
2023-06-29T21:36:41+02:00,300,924,3201,4.04700,7669,,,,
2023-06-29T21:51:39+02:00,301,941,3260,4.04700,7669,,,,
2023-06-29T22:21:34+02:00,302,949,3287,4.04500,7669,,,,
2023-06-29T22:36:32+02:00,303,959,3322,4.04700,7669,,,,
2023-06-29T23:21:23+02:00,304,969,3357,4.04500,7669,,,,
2023-06-30T03:05:29+02:00,305,977,3384,4.04400,7669,,,,
2023-06-30T13:03:04+02:00,306,966,3346,4.04400,7707,,,,
2023-06-30T18:01:53+02:00,307,959,3322,4.04400,7732,,,,
2023-07-01T07:43:28+02:00,308,969,3357,4.04400,7732,,,,
2023-07-01T08:43:16+02:00,309,976,3381,4.04400,7732,,,,
2023-07-01T10:42:49+02:00,310,990,3429,4.04400,7732,,,,
2023-07-01T13:57:03+02:00,311,1025,3551,4.04200,7732,,,,
2023-07-01T14:12:01+02:00,312,1035,3585,4.04200,7732,,,,
2023-07-02T14:06:15+02:00,313,1031,3571,4.04400,7746,,,,
2023-07-02T16:05:48+02:00,314,1021,3537,4.04200,7780,,,,
2023-07-02T16:50:39+02:00,315,1011,3502,4.04200,7815,,,,
2023-07-02T17:20:33+02:00,316,1004,3478,4.04000,7839,,,,
2023-07-02T18:20:20+02:00,317,997,3454,4.04200,7863,,,,
2023-07-03T18:14:31+02:00,318,998,3457,4.04000,7863,,,,
2023-07-04T10:25:33+02:00,319,990,3429,4.03900,7891,,,,
2023-07-05T02:51:33+02:00,320,1068,3700,4.04000,7891,,,,
2023-07-05T03:06:31+02:00,321,1079,3738,4.03900,7891,,,,
2023-07-05T03:36:24+02:00,322,1072,3713,4.04000,7915,,,,
2023-07-05T15:48:25+02:00,323,1082,3748,4.04000,7915,,,,
2023-07-05T16:33:15+02:00,324,1072,3713,4.04000,7950,,,,
2023-07-06T08:14:26+02:00,325,1062,3679,4.03700,7985,,,,
2023-07-06T15:42:41+02:00,326,1055,3655,4.03700,8009,,,,
2023-07-06T20:41:30+02:00,327,1047,3627,4.03700,8036,,,,
2023-07-07T10:08:10+02:00,328,1038,3596,4.03400,8068,,,,
2023-07-07T11:37:50+02:00,329,1030,3568,4.03600,8095,,,,
2023-07-07T16:06:50+02:00,330,1017,3523,4.03700,8140,,,,
2023-07-08T16:01:00+02:00,331,1018,3526,4.03700,8140,,,,
2023-07-08T20:59:53+02:00,332,998,3457,4.03400,8210,,,,
2023-07-09T10:56:26+02:00,333,990,3429,4.03600,8237,,,,
2023-07-09T15:25:22+02:00,334,981,3398,4.03600,8269,,,,
2023-07-09T21:09:01+02:00,335,972,3367,4.03400,8300,,,,
2023-07-09T22:23:44+02:00,336,963,3336,4.03600,8331,,,,
2023-07-10T12:05:20+02:00,337,955,3308,4.03400,8359,,,,
2023-07-11T11:59:28+02:00,338,952,3298,4.03100,8369,,,,
2023-07-11T13:14:12+02:00,339,943,3267,4.03200,8400,,,,
2023-07-11T22:41:52+02:00,340,935,3239,4.03400,8428,,,,
2023-07-11T22:56:50+02:00,341,923,3197,4.03100,8469,,,,
2023-07-12T22:21:05+02:00,342,947,3280,4.03100,8469,,,,
2023-07-13T22:15:13+02:00,343,947,3280,4.02800,8469,,,,
2023-07-13T23:45:21+02:00,344,940,3256,4.02500,8494,,,,
2023-07-14T00:00:38+02:00,345,938,3249,4.02900,8501,,,,
2023-07-14T10:57:55+02:00,346,925,3204,4.02600,8546,,,,
2023-07-14T22:10:14+02:00,347,932,3228,4.02600,8546,,,,
2023-07-14T22:40:08+02:00,348,922,3194,4.02600,8580,,,,
2023-07-15T14:36:13+02:00,349,914,3166,4.02300,8608,,,,
2023-07-15T19:20:06+02:00,350,969,3357,4.02600,8608,,,,
2023-07-15T19:50:00+02:00,351,980,3395,4.02500,8608,,,,
2023-07-16T18:14:31+02:00,352,973,3370,4.02500,8632,,,,
2023-07-16T20:43:56+02:00,353,963,3336,4.02500,8667,,,,
2023-07-16T22:13:40+02:00,354,954,3305,4.02300,8698,,,,
2023-07-17T14:24:45+02:00,355,947,3280,4.02300,8722,,,,
2023-07-18T08:05:29+02:00,356,939,3253,4.02000,8750,,,,
2023-07-18T10:05:06+02:00,357,925,3204,4.02100,8799,,,,
2023-07-18T13:34:25+02:00,358,917,3176,4.02000,8826,,,,
2023-07-18T18:18:19+02:00,359,908,3145,4.02100,8857,,,,
2023-07-19T09:29:32+02:00,360,901,3121,4.02000,8882,,,,
2023-07-19T17:42:35+02:00,361,894,3097,4.01800,8906,,,,
2023-07-20T09:08:49+02:00,362,887,3073,4.01700,8930,,,,
2023-07-20T16:07:11+02:00,363,878,3041,4.01800,8961,,,,
2023-07-20T16:22:10+02:00,364,867,3003,4.01700,8999,,,,
2023-07-20T21:35:53+02:00,365,860,2979,4.01800,9024,,,,
2023-07-21T09:47:51+02:00,366,852,2951,4.01700,9051,,,,
2023-07-21T21:00:07+02:00,367,845,2927,4.01700,9076,,,,
2023-07-22T10:41:45+02:00,368,838,2903,4.01700,9100,,,,
2023-07-22T14:25:53+02:00,369,830,2875,4.01800,9128,,,,
2023-07-22T18:24:57+02:00,370,820,2840,4.01700,9162,,,,
2023-07-22T19:24:45+02:00,371,810,2806,4.01500,9197,,,,
2023-07-22T19:39:43+02:00,372,800,2771,4.01700,9232,,,,
2023-07-23T09:36:16+02:00,373,809,2802,4.01500,9232,,,,
2023-07-23T10:06:10+02:00,374,818,2834,4.01700,9232,,,,
2023-07-23T11:50:46+02:00,375,811,2809,4.01700,9256,,,,
2023-07-23T20:03:47+02:00,376,826,2861,4.01500,9256,,,,
